,0_RfR 0,1_RfR 0,2_RfR 0,3_RfR 0,4_RfR 0,EWS_DaysToThreat,A.1_DikeIncrease 0,A.2_DikeIncrease 0,A.3_DikeIncrease 0,A.4_DikeIncrease 0,A.5_DikeIncrease 0,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs,Evacuation Costs,Expected Number of Deaths
45,1,0,0,0,0,3,0,4,4,3,4,4517251.611920434,121592477.39632247,84600000.0,87.25360244261732,0.00014594181251966856
46,0,0,1,1,0,1,0,0,0,0,0,308712139.0247141,0.0,151900000.0,788.188578977418,0.024965283168784904
47,1,0,1,0,0,0,0,0,0,1,2,83017451.45947093,33899030.27732149,115300000.0,0.0,0.031238736298598403
48,0,0,1,0,0,0,2,0,0,2,0,173502895.02834666,44587283.45662385,30700000.0,0.0,0.057328392494996015
49,0,0,0,0,0,0,0,0,2,1,0,368728529.7072382,28488618.508469995,0.0,0.0,0.0868440324721047
50,1,0,1,1,0,0,0,3,3,2,3,1854506.2700970068,109724338.27636325,236500000.0,0.0,0.00033045869481696335
51,1,0,1,1,0,0,0,0,0,0,0,72515100.4270092,0.0,236500000.0,0.0,0.02791899883263821
52,1,0,1,0,0,2,0,0,0,1,2,83017451.45947093,33899030.27732149,115300000.0,1082.0787551857054,0.004685810444789762
53,0,0,1,0,0,0,2,0,0,1,0,177433503.26146728,43576003.54676832,30700000.0,0.0,0.05798542620549593
54,0,0,0,0,0,1,2,0,0,1,0,257892887.91839254,43576003.54676832,0.0,1889.1595823346493,0.04310718882166238
55,0,0,0,0,0,1,2,0,1,0,0,99271429.98633274,57554490.86442277,0.0,832.8138992463836,0.010560361832576554
56,0,0,1,0,0,1,0,0,1,1,0,318269658.5306539,26620087.93698693,30700000.0,867.3720426604439,0.025968458378949854
57,0,0,1,0,0,1,0,0,0,0,0,328388123.94621885,0.0,30700000.0,979.1679848238703,0.02656654290419712
58,1,0,0,0,0,2,0,0,1,1,0,92835216.00712194,26620087.93698693,84600000.0,1263.347252586669,0.004256399891701338
59,0,0,1,0,0,2,0,1,0,0,0,314499234.5820276,38245121.951764055,30700000.0,1488.4793755313149,0.010399757079756588
60,0,0,1,0,0,1,2,0,0,1,2,83017451.45947093,71154233.51442356,30700000.0,651.7933207706837,0.011245945067495424
61,1,0,1,0,0,0,0,0,0,2,0,173502895.02834666,7332080.219521779,115300000.0,0.0,0.057328392494996015
62,1,0,1,1,0,2,0,3,3,3,3,0.0,110845665.75344953,236500000.0,0.0,0.0
63,0,0,1,0,0,0,2,3,3,3,5,1820258.9189306563,154426018.78846613,30700000.0,0.0,0.0004903524259380509
64,1,0,1,0,0,0,0,3,0,3,3,50553715.05488554,86647633.30208814,115300000.0,0.0,0.028216712795548465
65,0,0,0,0,0,0,2,1,3,0,1,88243056.45491093,124735571.72640125,0.0,0.0,0.022964801676886346
66,1,0,0,1,0,1,0,0,1,0,0,62100960.20613419,20299287.62732069,205800000.0,511.65873903535737,0.0066525154946579425
67,0,0,0,0,0,0,2,0,2,0,0,95331334.20158559,59423021.43590583,0.0,0.0,0.027127831856266427
68,1,0,0,1,0,0,0,0,1,0,0,62100960.20613419,20299287.62732069,205800000.0,0.0,0.018479209707383176
69,1,0,1,1,0,1,0,0,1,1,0,42265763.26383722,26620087.93698693,236500000.0,348.81528170950014,0.0044939297363055745
70,1,0,1,1,0,1,0,0,0,0,0,72515100.4270092,0.0,236500000.0,567.8708290680473,0.010050839579749756
71,1,0,0,0,0,0,0,3,4,4,5,6225488.181465543,120617950.3078661,84600000.0,0.0,0.0019342424544801068
72,0,0,0,0,0,2,1,0,2,0,0,138309894.78223395,54862719.29296569,0.0,1524.4150455228516,0.005521624969827051
73,0,0,0,0,0,1,0,0,2,0,0,375164743.686449,22167818.198803753,0.0,1357.2739776895378,0.031608853782451034
74,1,0,1,0,0,1,0,0,0,2,0,173502895.02834666,7332080.219521779,115300000.0,1522.0249281039837,0.02063822129819856
75,1,0,0,1,0,2,0,3,4,3,3,3071442.6784264804,113051012.8443946,205800000.0,41.431154812427124,0.00014302726137846962
76,1,0,1,0,0,0,0,3,3,2,4,4969868.169144154,112749928.79118036,115300000.0,0.0,0.0010579766642138115
77,0,0,1,0,0,1,2,2,2,0,3,47005937.61803274,132592963.14978361,30700000.0,424.5328158401595,0.005028986412533016
78,1,0,1,0,0,2,0,0,0,2,0,173502895.02834666,7332080.219521779,115300000.0,2526.799197047629,0.008599258874249404
79,0,0,0,0,0,0,2,0,1,1,0,92835216.00712194,63875291.174089015,0.0,0.0,0.02837599927800892
80,0,0,0,0,0,0,2,0,0,0,0,264329101.89760333,37255203.0,0.0,0.0,0.12070053031709925
81,0,0,0,0,0,1,0,0,0,1,0,537726297.4032559,6320800.0,0.0,2440.2340761771693,0.06495002313585752
82,0,0,0,0,0,0,1,0,0,0,0,307307662.4782517,32694901.0,0.0,0.0,0.13038353159301316
83,0,0,0,0,0,0,0,0,1,0,0,379104839.4711961,20299287.0,0.0,0.0,0.0900088781854769
84,1,0,0,0,0,0,0,0,0,1,0,257892887.91839254,6320800.0,84600000.0,0.0,0.1197421911712844
85,0,1,0,1,1,0,0,1,3,0,1,31927240.405378766,87480368.0,595100000.0,0.0,0.008850346376714249
86,1,1,1,1,1,1,0,3,3,0,2,7015641.476199345,99618961.0,710400000.0,72.80798304288425,0.0004150482319827221
87,0,0,0,0,0,1,1,0,0,0,0,307307662.4782517,32694901.0,0.0,2073.0289506555746,0.04693807137348474
88,0,0,0,0,0,2,1,0,0,0,0,307307662.4782517,32694901.0,0.0,3441.5519688617946,0.019557529738951984
89,1,0,0,0,0,1,0,3,3,3,3,23623703.09437227,110845665.0,84600000.0,180.56116706089614,0.0037343141630101885
90,0,0,1,0,0,1,2,0,0,2,0,173502895.02834666,44587283.0,30700000.0,1522.0249281039837,0.02063822129819856
91,1,1,1,1,0,3,0,0,1,0,0,45920211.31605162,20299287.0,454300000.0,799.7443492164467,0.001567643608786092
92,0,0,1,0,0,2,0,0,0,1,0,318683570.16791993,6320800.0,30700000.0,1444.6646633558719,0.010854596560176781
93,0,0,0,0,0,2,0,0,2,0,0,375164743.686449,22167818.0,0.0,2253.286877023647,0.013170355742687934
94,0,0,1,1,0,1,1,0,0,0,0,115493661.00765756,32694901.0,151900000.0,679.9072314653827,0.013536720039078767
95,0,0,0,0,0,1,2,0,0,0,0,264329101.89760333,37255203.0,0.0,1960.9925482582394,0.043452190914155725
96,0,0,0,0,0,2,0,0,0,1,0,537726297.4032559,6320800.0,0.0,4051.169853028504,0.027062509639940634
97,0,0,1,0,0,3,0,1,0,0,0,314499234.5820276,38245121.0,30700000.0,1849.2167300718452,0.008319805663805266
98,0,0,0,0,0,2,2,0,0,1,0,257892887.91839254,43576003.0,0.0,3136.300087860258,0.017961328675692667
99,0,0,0,0,0,2,0,0,1,1,0,372668625.4919853,26620087.0,0.0,2178.2170177549156,0.013357580855949309
100,0,0,0,0,0,1,1,0,1,0,0,142249990.56698108,52994188.0,0.0,944.8503016437189,0.014046242291905564
101,0,0,0,0,0,2,2,0,0,0,0,264329101.89760333,37255203.0,0.0,3255.554035194343,0.018105079547564896
102,0,0,1,0,0,3,0,0,1,1,0,318269658.5306539,26620087.0,30700000.0,1788.9548379871653,0.008656152792983283
103,0,0,1,0,0,1,2,2,3,3,3,11944921.022169502,143076585.0,30700000.0,97.58863378019936,0.0013122624308774297
104,0,0,0,0,0,0,0,0,1,1,0,372668625.4919853,26620087.0,0.0,0.0,0.08905053903966205
105,0,0,0,0,0,3,0,0,1,0,0,379104839.4711961,20299287.0,0.0,2854.2698107458637,0.010801065382257226
106,0,0,1,0,0,1,1,0,0,0,0,235695992.91852188,32694901.0,30700000.0,1846.1020397316154,0.025171157672994934
107,0,0,1,0,0,1,2,0,0,1,0,177433503.26146728,43576003.0,30700000.0,1562.2537347382458,0.02087475343397853
108,0,0,1,0,0,2,2,0,0,1,0,177433503.26146728,43576003.0,30700000.0,2593.5853018115413,0.008697813930824392
109,1,0,1,0,0,2,0,0,0,1,0,177433503.26146728,6320800.0,115300000.0,2593.5853018115413,0.008697813930824392
110,0,0,0,0,0,3,2,0,2,1,0,88895120.22237478,65743821.0,0.0,1514.6309432170692,0.0031403391252541888
111,0,0,1,0,0,0,2,0,3,0,2,71110667.59189275,89031465.0,30700000.0,0.0,0.018220718998837614
112,0,0,0,0,0,0,2,0,1,0,0,99271429.98633274,57554490.0,0.0,0.0,0.02933433842382377
113,0,0,0,0,0,1,1,0,2,0,0,138309894.78223395,54862719.0,0.0,918.2358862443529,0.013251899927584921
114,0,0,1,0,0,0,0,0,0,1,0,318683570.16791993,6320800.0,30700000.0,0.0,0.07236397706784521
115,1,0,0,1,0,2,0,1,3,0,1,36430986.39168638,87480368.0,205800000.0,538.0790263045764,0.0014361548336566997
116,0,0,1,0,0,3,2,0,2,0,2,71110667.59189275,87001251.0,30700000.0,1320.9554258407163,0.0021864862798605137
117,1,0,0,0,0,0,0,0,1,0,0,99271429.98633274,20299287.0,84600000.0,0.0,0.02933433842382377
118,0,0,0,0,0,1,0,0,1,1,0,372668625.4919853,26620087.0,0.0,1312.0554271653136,0.03205819405427834
119,1,0,1,1,0,1,0,0,0,1,0,68860652.3747948,6320800.0,236500000.0,528.9312747938158,0.009841838489697054
120,1,0,0,0,0,2,0,0,1,0,0,99271429.98633274,20299287.0,84600000.0,1382.601199920754,0.004400150763573565
121,0,0,1,0,0,2,2,0,0,0,0,192717432.33787352,37255203.0,30700000.0,2878.8199057307384,0.009035532172360805
122,0,0,1,0,0,1,2,3,3,6,4,1236881.491849215,155259509.0,30700000.0,10.061099223023872,0.0001377595297800479
123,1,0,0,0,0,0,0,1,3,0,2,47726905.61231576,90021384.0,84600000.0,0.0,0.011378165740616755
124,1,0,0,0,0,2,0,0,2,1,0,88895120.22237478,28488618.0,84600000.0,1219.1631645213151,0.003925423906567737
125,0,0,1,0,0,1,2,0,0,0,0,192717432.33787352,37255203.0,30700000.0,1734.06563733428,0.021685277213665925
126,0,0,1,0,0,1,0,0,0,1,0,318683570.16791993,6320800.0,30700000.0,870.1980089861254,0.026051031744424274
127,1,0,1,0,0,1,0,0,0,1,0,177433503.26146728,6320800.0,115300000.0,1562.2537347382458,0.02087475343397853
128,1,0,0,0,0,1,0,3,3,1,3,25830747.710731834,108713058.0,84600000.0,204.14267307788703,0.003641874365821359
129,0,0,0,0,0,2,1,0,1,0,0,142249990.56698108,52994188.0,0.0,1568.5991335882054,0.0058526009549606526
130,0,0,0,0,0,2,2,0,1,1,0,92835216.00712194,63875291.0,0.0,1263.347252586669,0.004256399891701338
131,0,0,1,1,0,1,2,0,0,0,0,72515100.4270092,37255203.0,151900000.0,567.8708290680473,0.010050839579749756
132,1,0,1,0,0,1,0,3,3,1,3,9154349.136710463,108713058.0,115300000.0,87.07925301706163,0.0006427128936539871
133,1,0,0,0,0,2,0,0,0,1,0,257892887.91839254,6320800.0,84600000.0,3136.300087860258,0.017961328675692667
134,0,0,0,0,0,1,2,0,2,0,0,95331334.20158559,59423021.0,0.0,806.1994838470175,0.00976601946825591
135,1,0,1,1,1,1,0,0,1,0,0,45690077.831963085,20299287.0,492600000.0,386.68045901703954,0.004679988288252219
136,0,0,1,1,0,3,2,0,1,0,0,45920211.31605162,57554490.0,151900000.0,799.7443492164467,0.001567643608786092
137,1,0,0,0,0,0,0,0,2,0,0,95331334.20158559,22167818.0,84600000.0,0.0,0.027127831856266427
138,0,0,1,0,0,0,0,0,1,1,0,318269658.5306539,26620087.93698693,30700000.0,0.0,0.07213460660819404
139,1,0,1,1,1,0,0,0,0,0,0,72239488.89398046,0.0,492600000.0,0.0,0.027809069637388478
140,0,0,1,0,0,0,2,4,3,3,5,988550.9113084045,159941892.8255769,30700000.0,0.0,0.00018333533918921433
141,0,0,1,0,0,3,0,0,0,1,0,318683570.16791993,6320800.309666242,30700000.0,1794.7833935338833,0.008683677248141423
142,0,0,0,0,0,2,2,3,4,3,4,6225488.181465543,153331806.59631377,0.0,83.95452771576464,0.00029013636817201607
143,0,0,1,0,0,0,2,2,3,1,3,19667364.2148078,140943977.7120075,30700000.0,0.0,0.004993814880702319
144,0,0,1,0,0,1,2,0,3,0,2,71110667.59189275,89031465.65611869,30700000.0,640.4632367712563,0.0065594588395815395
145,1,0,0,0,0,1,0,0,2,1,0,88895120.22237478,28488618.508469995,84600000.0,734.3665179234274,0.009421017375762565
146,1,0,0,1,0,0,0,0,2,0,0,61682046.02711444,22167818.198803753,205800000.0,0.0,0.018244757300553652
147,1,0,1,1,1,0,0,0,0,1,0,68815174.3258546,6320800.309666242,492600000.0,0.0,0.027292240326425576
148,1,0,1,1,0,1,0,0,1,0,0,45920211.31605162,20299287.62732069,236500000.0,387.7548359837317,0.004702930826358276
149,1,0,1,1,0,0,0,0,1,0,0,45920211.31605162,20299287.62732069,236500000.0,0.0,0.013063696739884098
150,0,0,1,0,0,4,2,3,3,3,4,1820258.9189306563,151126459.5053687,30700000.0,37.33551781723547,5.884229111256611e-05
151,1,0,0,1,0,0,0,1,3,3,1,26208495.547193065,95933776.18590721,205800000.0,0.0,0.007966158002252737
152,1,0,0,0,0,2,0,5,4,2,4,3758078.8364809677,126522679.24976459,84600000.0,59.3029166108265,0.0001023389852463176
153,0,0,0,0,0,0,2,0,2,1,0,88895120.22237478,65743821.745572075,0.0,0.0,0.02616949271045158
154,0,0,1,0,0,0,2,2,3,2,3,13800394.089611754,141955257.62186304,30700000.0,0.0,0.003975899842416541
155,1,0,0,0,0,0,0,3,3,3,3,23623703.09437227,110845665.75344953,84600000.0,0.0,0.010373094897250523
156,1,0,1,0,0,3,0,4,3,7,5,0.0,128494933.67336603,115300000.0,0.0,0.0
157,0,1,1,1,1,2,0,1,2,0,1,38092811.736590505,85450154.23674154,625800000.0,551.0068656037348,0.0016426230359443234
158,1,0,1,0,0,1,0,0,0,1,2,83017451.45947093,33899030.27732149,115300000.0,651.7933207706837,0.011245945067495424
159,1,0,0,1,0,2,0,2,4,3,2,12035702.704444833,105253432.87806754,205800000.0,162.88912898243862,0.0005547194100646865
160,0,0,0,0,0,1,2,3,3,3,3,23623703.09437227,148100868.99055162,0.0,180.56116706089614,0.0037343141630101885
161,1,0,0,0,0,0,0,1,3,0,1,88243056.45491093,87480368.48929916,84600000.0,0.0,0.022964801676886346
162,1,0,0,1,0,1,0,1,3,0,1,36430986.39168638,87480368.48929916,205800000.0,324.1134840799331,0.0034467716007760794
163,1,0,0,0,0,0,0,6,4,4,6,0.0,142417350.7283004,84600000.0,0.0,0.0
164,1,0,0,0,0,1,0,0,2,0,0,95331334.20158559,22167818.198803753,84600000.0,806.1994838470175,0.00976601946825591
165,1,0,1,1,1,1,0,3,2,0,2,9291212.049215356,97588747.7295591,492600000.0,88.00317944316143,0.0008829905909291931
166,0,0,1,1,0,1,2,0,1,0,0,45920211.31605162,57554490.86442277,151900000.0,387.7548359837317,0.004702930826358276
167,1,0,1,1,1,2,0,0,0,0,0,72239488.89398046,0.0,492600000.0,940.8876533383608,0.004171360445608273
168,0,0,1,0,0,2,0,0,1,1,0,318269658.5306539,26620087.93698693,30700000.0,1439.9731176980022,0.010820190991229106
169,1,0,1,1,0,0,0,3,3,0,1,15889490.338455986,97077946.10063522,236500000.0,0.0,0.003125004845801968
170,1,0,0,1,0,1,0,2,3,0,1,33497740.76699825,92053662.20903291,205800000.0,297.0536271930559,0.0036353021718166277
171,1,0,1,0,0,1,0,2,3,0,2,44522481.78098945,94594678.09051442,115300000.0,433.9508237891173,0.0036017439755376014
172,1,0,1,0,0,2,0,0,2,2,2,51896130.28236586,57078128.38598077,115300000.0,711.248336737922,0.0022968345517142418
173,1,0,0,1,0,1,0,0,2,0,0,61682046.02711444,22167818.198803753,205800000.0,508.82727201005,0.006568112628199313
174,1,0,1,0,0,0,0,2,3,2,3,13800394.089611754,104700054.38476095,115300000.0,0.0,0.003975899842416541
175,1,0,1,0,0,0,0,3,3,1,3,9154349.136710463,108713058.36650771,115300000.0,0.0,0.0017853135934832978
176,1,0,1,1,0,0,0,2,3,0,2,17568670.30500469,94594678.09051442,236500000.0,0.0,0.0037292234357805413
177,0,0,1,0,0,0,2,3,3,0,3,24926293.176977053,139647461.29394355,30700000.0,0.0,0.0041719111424361015
178,1,0,1,0,0,1,0,0,0,2,2,79086843.2263503,34910310.18717702,115300000.0,611.5645141364216,0.011009412931715454
179,0,0,0,0,0,0,2,4,4,4,4,3528700.7006120295,160089468.29898155,0.0,0.0,0.0010328464318080238
180,0,0,0,0,0,2,2,0,1,0,0,99271429.98633274,57554490.86442277,0.0,1382.601199920754,0.004400150763573565
181,0,0,0,0,0,1,2,0,2,1,0,88895120.22237478,65743821.745572075,0.0,734.3665179234274,0.009421017375762565
182,0,0,1,1,0,0,2,0,0,0,0,72515100.4270092,37255203.23710208,151900000.0,0.0,0.02791899883263821
183,1,0,0,0,0,1,0,1,3,0,3,47726905.61231576,92794680.44550541,84600000.0,446.2302887409796,0.0040961396666220305
184,0,0,1,1,0,2,2,0,0,0,0,72515100.4270092,37255203.23710208,151900000.0,942.7543060700004,0.004187849824895732
185,1,0,1,1,0,0,0,0,0,1,0,68860652.3747948,6320800.309666242,236500000.0,0.0,0.027338440249158484
186,1,0,0,1,0,1,0,4,5,3,4,0.0,123987494.984625,205800000.0,0.0,0.0
187,0,0,0,0,0,0,2,0,0,1,0,257892887.91839254,43576003.54676832,0.0,0.0,0.1197421911712844
188,0,0,1,1,0,1,1,0,1,0,0,88898771.89669998,52994188.72148262,151900000.0,499.79123838106705,0.008188811285687287
189,1,0,1,0,0,1,0,1,2,2,2,42917283.95661804,95323250.33774483,115300000.0,347.6836372764036,0.005457711626222864
190,1,0,0,0,0,0,0,0,2,1,0,88895120.22237478,28488618.508469995,84600000.0,0.0,0.02616949271045158
191,0,0,1,1,0,1,2,0,0,1,0,68860652.3747948,43576003.54676832,151900000.0,528.9312747938158,0.009841838489697054
192,0,0,1,0,0,2,1,0,0,2,0,216481455.60899502,40026981.31368371,30700000.0,2712.7971307150806,0.010051709065636492
193,0,0,1,0,0,2,2,0,0,2,0,173502895.02834666,44587283.45662385,30700000.0,2526.799197047629,0.008599258874249404
194,0,0,1,0,0,1,0,1,0,0,0,314499234.5820276,38245121.951764055,30700000.0,896.5899297318037,0.024959416991415802
195,1,0,0,1,0,0,0,2,3,0,1,33497740.76699825,92053662.20903291,205800000.0,0.0,0.010098061588379524
196,1,0,1,1,1,0,0,3,3,0,2,7015641.476199345,99618961.98211673,492600000.0,0.0,0.0011529117555075614
197,1,0,1,0,0,0,0,3,3,0,3,24926293.176977053,102392258.05684146,115300000.0,0.0,0.0041719111424361015
198,1,0,1,0,0,0,0,0,2,0,2,71110667.59189275,49746048.166458994,115300000.0,0.0,0.018220718998837614
199,0,0,1,0,0,2,2,0,0,1,2,83017451.45947093,71154233.51442356,30700000.0,1082.0787551857054,0.004685810444789762
200,0,0,1,0,0,1,1,0,0,2,2,122065403.80699866,67605211.28133896,30700000.0,723.600916533757,0.014495293391044464
201,1,0,1,0,0,2,0,3,0,3,3,50553715.05488554,86647633.30208814,115300000.0,565.2924540734966,0.00423250691933227
202,0,0,1,0,0,0,2,3,3,1,3,9154349.136710463,145968261.6036098,30700000.0,0.0,0.0017853135934832978
203,0,0,1,1,0,1,2,0,1,1,0,42265763.26383722,63875291.174089015,151900000.0,348.81528170950014,0.0044939297363055745
204,0,0,1,0,0,2,2,0,0,3,2,79086843.2263503,73286840.90136537,30700000.0,1015.2926504217936,0.004587255388214775
205,1,0,1,0,0,0,0,0,2,2,2,51896130.28236586,57078128.38598077,115300000.0,0.0,0.015312230344761608
206,0,0,0,0,0,0,2,3,3,3,3,23623703.09437227,148100868.99055162,0.0,0.0,0.010373094897250523
207,1,0,1,0,0,0,0,2,3,3,3,11944921.022169502,105821381.86184722,115300000.0,0.0,0.0036451734191039714
208,1,0,0,0,0,0,0,1,3,1,2,31954961.572049174,96342184.68044692,84600000.0,0.0,0.00899156819166395
209,1,0,1,0,0,1,0,1,3,3,3,26008442.59603447,101248088.14211348,115300000.0,213.22522175284604,0.00282580576106768
210,1,0,1,1,0,0,0,0,1,1,0,42265763.26383722,26620087.93698693,236500000.0,0.0,0.012483138156404372
211,0,0,1,0,0,0,2,1,2,1,3,42343632.90301339,134340469.7397161,30700000.0,0.0,0.014321733544518045
212,0,0,1,1,0,0,2,0,0,1,0,68860652.3747948,43576003.54676832,151900000.0,0.0,0.027338440249158484
213,0,0,0,0,0,0,2,1,3,3,2,26341864.181298804,135729995.3044908,0.0,0.0,0.008043956372147743
214,1,0,0,0,0,0,0,3,3,1,3,25830747.710731834,108713058.36650771,84600000.0,0.0,0.01011631768283711
215,0,0,1,0,0,0,2,0,0,1,2,83017451.45947093,71154233.51442356,30700000.0,0.0,0.031238736298598403
216,1,0,0,1,0,1,0,2,4,0,1,27705076.43149184,94259009.29997797,205800000.0,259.06577770841955,0.0024343843956911833
217,1,0,0,1,0,0,0,3,3,3,3,8864107.01393289,110845665.75344953,205800000.0,0.0,0.004289397787316033
218,1,0,1,0,0,2,0,4,0,3,3,49316833.56303632,92163507.33919892,115300000.0,548.5894573165234,0.00417510711525725
219,1,0,1,1,1,1,0,0,0,1,0,68815174.3258546,6320800.309666242,492600000.0,528.8812679974496,0.009825206517513209
220,1,0,1,0,0,1,0,0,2,0,2,71110667.59189275,49746048.166458994,115300000.0,640.4632367712563,0.0065594588395815395
221,0,0,0,0,0,1,2,1,3,0,2,47726905.61231576,127276587.60788277,0.0,446.2302887409796,0.0040961396666220305
222,0,0,0,0,0,1,1,1,3,0,2,90705466.19296414,122716285.4649426,0.0,558.2666911383149,0.007582020125951041
223,1,0,1,1,0,0,0,3,4,0,2,11567616.448131055,101824309.0730618,236500000.0,0.0,0.0018902866556005497
224,1,0,0,1,0,1,0,3,4,1,2,10448870.796507593,108145109.38272804,205800000.0,99.45316004569001,0.000794381004512493
225,1,0,1,1,0,0,0,1,3,0,1,40767575.752540834,87480368.48929916,236500000.0,0.0,0.010623140988141815
